datetime,temp,feelslike,dew,humidity,precip,precipprob,windspeed,winddir,windgust,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,PM25_Idgah_Hills,PM10_Idgah_Hills,NO_Idgah_Hills,SO2_Idgah_Hills,CO_Idgah_Hills,O3_Idgah_Hills,Benzene_Idgah_Hills,NO2_Idgah_Hills,NH3_Idgah_Hills,PM25_TT_Nagar,PM10_TT_Nagar,NO_TT_Nagar,SO2_TT_Nagar,CO_TT_Nagar,O3_TT_Nagar,NO2_TT_Nagar,NH3_TT_Nagar,PM25_Paryavaran_Parisar,PM10_Paryavaran_Parisar,NO_Paryavaran_Parisar,SO2_Paryavaran_Parisar,CO_Paryavaran_Parisar,O3_Paryavaran_Parisar,Benzene_Paryavaran_Parisar,NO2_Paryavaran_Parisar,NH3_Paryavaran_Parisar,year,month,day,hour,dayofweek,hour_sin,hour_cos,month_sin,month_cos
2025-09-17 07:00:00,77.3,77.3,75.3,93.63,0.0,0.0,3.8,253.4,6.5,1007.0,98.2,2.5,2.3,0.0,56.267115101589866,190.70638198960904,1.0531542586117788,9.87073877788643,0.5408925112427364,47.19032568593511,0.3854846825431303,17.54056756240981,13.684460295493617,51.946683363859904,206.65523033388035,1.661718397487773,12.23394239876326,1.0801790936264295,47.554223321050415,42.14297646351096,35.53154130091391,56.27903918893265,194.87351751789564,8.789263064970507,5.479642422994041,0.44287930539224657,33.050282940880614,1.6532273894056275,37.263358736653785,12.344460126701442,2025.0,9.0,17.0,7.0,2.0,0.9659258262890684,-0.2588190451025206,-1.0,-1.8369701987210294e-16
2025-09-17 08:00:00,77.1,77.1,73.5,88.7,0.0,0.0,9.2,301.0,7.8,1007.5,93.6,2.5,47.6,0.0,56.26942411611121,191.11623689977532,1.0531134454107767,9.870084101317397,0.5408516956121142,47.18863876620295,0.38545875858535655,17.53214905030286,13.684194959551808,51.949722464761344,206.680779888784,1.6617657839441282,12.231446847889654,1.0801680540366578,47.551884863448315,42.14474498029191,35.52511153354709,56.27725481185451,194.869769239442,8.788984268039206,5.4792923671672,0.44285666157738945,33.00708988657344,1.6531894078354739,37.25989849588598,12.343018682924313,2025.0,9.0,17.0,8.0,2.0,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210294e-16
2025-09-17 09:00:00,80.7,85.5,73.5,78.79,0.0,0.0,9.2,300.0,10.3,1010.0,93.7,2.5,198.3,2.0,56.27021082949896,190.73589250437374,1.0530788199627013,9.86952828169034,0.5408169927045154,47.1872178590946,0.3854369848531395,17.52700182802509,13.683971546333321,51.952280983747755,206.7365228832704,1.6618056549476579,12.229778244605768,1.0801587578088188,47.54991560314487,42.14623409321763,35.519654109574454,56.27575422356093,194.86661041553066,8.788752484053116,5.478995644813443,0.4428375914405532,33.01245936387103,1.653157704286616,37.256943297102374,12.34180113206513,2025.0,9.0,17.0,9.0,2.0,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210294e-16
2025-09-17 10:00:00,84.3,91.1,73.5,70.12,0.0,0.0,6.9,330.0,11.2,1010.0,73.7,2.5,241.1,2.0,56.27239244055294,190.751273393193,1.053050426756648,9.86908109282378,0.5407891592904412,47.18606311362982,0.3854195741556433,17.52503357412486,13.683790338920245,51.95434763397032,206.65742674717794,1.661838022897883,12.227659964322848,1.0801511949040274,47.54831766022523,42.147442546703424,35.51527768220356,56.27453619668594,194.86403950157083,8.788501739023694,5.47875673372071,0.44282211694256374,33.01739266494018,1.653131958792213,37.25457348530923,12.340819653022809,2025.0,9.0,17.0,10.0,2.0,0.4999999999999999,-0.8660254037844387,-1.0,-1.8369701987210294e-16
2025-09-17 11:00:00,86.1,93.6,73.5,66.2,0.0,0.0,5.8,360.0,11.6,1006.4,73.7,3.1,327.9,3.0,56.27488770816112,190.7617031086303,1.053028253246655,9.868744820055545,0.5407683370195654,47.18517162644566,0.3854065405551923,17.525636267902282,13.683650967513987,51.95592403099723,206.6554075484907,1.661862981720987,12.225584517722707,1.0801453414168503,47.54708765016699,42.14837303757288,35.51200449065926,56.27359689481508,194.8620495474085,8.788900694500873,5.4785764068378775,0.44281020601052345,33.043976622674606,1.6531119368734353,37.252805642168624,12.340076263214623,2025.0,9.0,17.0,11.0,2.0,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210294e-16
2025-09-17 12:00:00,86.1,95.8,75.6,71.15,0.0,0.0,5.1,335.4,11.2,1008.0,87.6,3.1,336.9,3.0,56.27755910737192,190.78030199402198,1.0530122029935447,9.868516706077996,0.5407542937412773,47.18453738284449,0.3853977682159078,17.527914755093587,13.683552461016692,51.95702196895758,206.65465637501444,1.6618807095100845,12.223606615976149,1.0801411573075523,47.546217055950414,42.14903200693545,35.509801896855606,56.27292966590476,194.86062758548857,8.788774227130103,5.478452832419884,0.442801776575863,33.02594046523257,1.653097444746711,37.251618563539296,12.339565559078736,2025.0,9.0,17.0,12.0,2.0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210294e-16
2025-09-17 13:00:00,86.1,93.6,73.5,66.19,0.0,0.0,6.9,350.0,12.5,1007.0,72.8,2.5,600.3,6.0,56.28035621225518,190.79401821888985,1.0530021408384702,9.868390697912433,0.5407465759613693,47.18415127439958,0.3853930284583713,17.53083529608123,13.683493295570859,51.95766138605631,206.65491293499628,1.6618914687272348,12.221695844206689,1.080138584880984,47.545692603458676,42.1494294267428,35.50860349752172,56.27252470452691,194.8597542589182,8.788091038591604,5.478383241244692,0.4427967002260626,33.0295956406736,1.6530882906770572,37.25096969967946,12.339276805186135,2025.0,9.0,17.0,13.0,2.0,-0.2588190451025208,-0.9659258262890684,-1.0,-1.8369701987210294e-16
2025-09-17 14:00:00,82.5,89.7,75.3,78.92,0.0,0.0,8.1,150.0,11.9,1003.7,94.6,3.1,634.7,6.0,56.283116752387016,190.80568188581404,1.0529978375762585,9.868358757789192,0.5407446153597509,47.184001194968424,0.3853920305828171,17.533406613961265,13.683471443869482,51.957868875943674,206.65585961565174,1.661895603971301,12.219940392727928,1.0801375482522702,47.545496646323066,42.14957855188499,35.50832343299906,56.27236901257451,194.85940375972552,8.787947398426077,5.478363494135912,0.44279480597551696,33.051942737528364,1.6530842672126065,37.250805809749075,12.339195413258702,2025.0,9.0,17.0,14.0,2.0,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210294e-16
2025-09-17 15:00:00,87.5,99.2,76.7,70.45,0.0,0.0,4.5,326.9,12.8,1005.0,55.6,3.1,569.8,6.0,56.28570382863827,190.9002557190909,1.0529989440587757,9.868411678396539,0.5407477996156684,47.184072262439145,0.3853944282809987,17.534203128364037,13.683484433975316,51.957676328582885,206.65714409417197,1.6618935360677434,12.21850501122729,1.080137953989799,47.54560763607585,42.1494955831458,35.50886629204639,56.27244673605882,194.8595441282787,8.788181082075877,5.478388973518993,0.4427958849516817,33.05264052203349,1.6530851454837396,37.25106967825072,12.339304116731643,2025.0,9.0,17.0,15.0,2.0,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210294e-16
2025-09-17 16:00:00,78.9,78.9,71.7,78.65,0.0,0.0,5.8,200.0,12.1,1006.0,94.6,3.1,352.3,4.0,56.28799693906702,190.9241799291337,1.0530050400168525,9.868539801525063,0.5407554947529091,47.18434719809784,0.38539986842129415,17.533593166532594,13.683529423897058,51.95711962587048,206.65843383271607,1.6618857516003558,12.21744114795829,1.080139693108693,47.546000758390406,42.14919920299571,35.51013348419448,56.272739443511504,194.86013798376607,8.787989717991218,5.478454802707485,0.4427996965394252,33.052611896954936,1.65309067453058,37.25170446242853,12.339583913859158,2025.0,9.0,17.0,16.0,2.0,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210294e-16
